*Step  = 0
*Time  = 0
*Data  = x;y;z
30 0.401453211961 -0.401453211961 0.298211344106
31 -0.401460160499 -0.200700186753 0.298339530543
32 -0.200703868939 -0.200703868939 0.298465922125
33 -6.93889390391e-18 -0.200709822083 0.29848845742
34 0.200703868939 -0.200703868939 0.298465922125
35 0.401460160499 -0.200700186753 0.298339530543
36 -0.401473470196 -1.38777878078e-17 0.298361026036
37 -0.200709822083 -7.8062556419e-18 0.29848845742
38 -1.38777878078e-17 -6.07153216592e-18 0.298513988138
39 0.200709822083 -8.67361737988e-19 0.29848845742
40 0.401473470196 4.33680868994e-18 0.298361026036
41 -0.401460160499 0.200700186753 0.298339530543
42 -0.200703868939 0.200703868939 0.298465922125
43 1.73472347598e-18 0.200709822083 0.29848845742
44 0.200703868939 0.200703868939 0.298465922125
45 0.401460160499 0.200700186753 0.298339530543
46 -0.401453211961 0.401453211961 0.298211344106
47 -0.200700186753 0.401460160499 0.298339530543
48 1.73472347598e-18 0.401473470196 0.298361026036
49 0.200700186753 0.401460160499 0.298339530543
50 0.401453211961 0.401453211961 0.298211344106
51 -0.401778104831 -0.401778104831 0.496429822753
52 -0.200886371958 -0.401797422441 0.496573096034
53 -1.47451495458e-17 -0.40179725058 0.496614083396
54 0.200886371958 -0.401797422441 0.496573096034
55 0.401778104831 -0.401778104831 0.496429822753
56 -0.401797422441 -0.200886371958 0.496573096034
57 -0.200894509493 -0.200894509493 0.496715174459
58 -6.93889390391e-18 -0.200895952825 0.496756774341
59 0.200894509493 -0.200894509493 0.496715174459
60 0.401797422441 -0.200886371958 0.496573096034
61 -0.40179725058 -1.73472347598e-18 0.496614083396
62 -0.200895952825 -1.38777878078e-17 0.496756774341
63 -3.46944695195e-18 -8.67361737988e-18 0.496800443655
64 0.200895952825 5.20417042793e-18 0.496756774341
65 0.40179725058 3.46944695195e-18 0.496614083396
66 -0.401797422441 0.200886371958 0.496573096034
67 -0.200894509493 0.200894509493 0.496715174459
68 8.67361737988e-19 0.200895952825 0.496756774341
69 0.200894509493 0.200894509493 0.496715174459
70 0.401797422441 0.200886371958 0.496573096034
71 -0.401778104831 0.401778104831 0.496429822753
72 -0.200886371958 0.401797422441 0.496573096034
73 -7.8062556419e-18 0.40179725058 0.496614083396
74 0.200886371958 0.401797422441 0.496573096034
75 0.401778104831 0.401778104831 0.496429822753
76 -0.401900310889 -0.401900310889 0.694503579465
77 -0.20095446065 -0.401919744441 0.694622804319
78 -2.60208521397e-17 -0.40192280478 0.694667164172
79 0.20095446065 -0.401919744441 0.694622804319
80 0.401900310889 -0.401900310889 0.694503579465
81 -0.401919744441 -0.20095446065 0.694622804319
82 -0.200962900529 -0.200962900529 0.694742565678
83 -1.38777878078e-17 -0.200965365876 0.694786954268
84 0.200962900529 -0.200962900529 0.694742565678
85 0.401919744441 -0.20095446065 0.694622804319
86 -0.40192280478 -6.93889390391e-18 0.694667164172
87 -0.200965365876 -1.12757025938e-17 0.694786954268
88 -9.54097911787e-18 -5.20417042793e-18 0.694831174966
89 0.200965365876 -8.67361737988e-19 0.694786954268
90 0.40192280478 2.34187669257e-17 0.694667164172
91 -0.401919744441 0.20095446065 0.694622804319
92 -0.200962900529 0.200962900529 0.694742565678
93 -1.04083408559e-17 0.200965365876 0.694786954268
94 0.200962900529 0.200962900529 0.694742565678
95 0.401919744441 0.20095446065 0.694622804319
96 -0.401900310889 0.401900310889 0.694503579465
97 -0.20095446065 0.401919744441 0.694622804319
98 -3.90312782095e-17 0.40192280478 0.694667164172
99 0.20095446065 0.401919744441 0.694622804319
100 0.401900310889 0.401900310889 0.694503579465
101 -0.401958851569 -0.401958851569 0.892503942113
102 -0.200986281049 -0.401968077139 0.892598317371
103 -1.90819582357e-17 -0.401969691535 0.892637205776
104 0.200986281049 -0.401968077139 0.892598317371
105 0.401958851569 -0.401958851569 0.892503942113
106 -0.401968077139 -0.200986281049 0.892598317371
107 -0.200990546219 -0.200990546219 0.892693797216
